1. Equated Observed Scores for Each Path 
        path.1      path.2      path.3
4  8.646025e-03 0.000000e+00 0.000000e+00
5  1.260862e-03 0.000000e+00 0.000000e+00
6  1.439868e-04 0.000000e+00 0.000000e+00
7  1.321855e-05 5.831488e-10 0.000000e+00
8  9.936852e-07 1.528087e-10 0.000000e+00
9  6.196432e-08 1.789949e-11 8.026795e-14
10 3.232577e-09 1.255699e-12 6.264216e-15
11 1.416745e-10 5.937729e-14 2.241899e-16
12 5.214346e-12 2.013655e-15 4.915740e-18
13 1.602961e-13 5.076880e-17 7.450084e-20
14 4.071653e-15 9.718632e-19 8.352940e-22
15 8.405220e-17 1.428303e-20 7.243084e-24
16 1.377902e-18 1.616811e-22 5.012532e-26
17 1.737936e-20 1.404188e-24 2.831980e-28
18 1.612623e-22 9.248116e-27 1.326953e-30
19 1.027538e-24 4.520683e-29 5.206227e-33
20 3.977169e-27 1.581995e-31 1.717364e-35
21 6.973524e-30 3.726754e-34 4.759126e-38
22 0.000000e+00 5.260211e-37 1.102370e-40
23 0.000000e+00 3.334831e-40 2.115288e-43
24 0.000000e+00 0.000000e+00 3.318544e-46
25 0.000000e+00 0.000000e+00 4.178847e-49
26 0.000000e+00 0.000000e+00 4.114520e-52
27 0.000000e+00 0.000000e+00 3.046563e-55
28 0.000000e+00 0.000000e+00 1.593162e-58
29 0.000000e+00 0.000000e+00 5.238833e-62
30 0.000000e+00 0.000000e+00 8.137194e-66

$`-4.2`
         path.1       path.2       path.3
0  3.716151e-01 0.000000e+00 0.000000e+00
1  3.778432e-01 0.000000e+00 0.000000e+00
2  1.816425e-01 0.000000e+00 0.000000e+00
3  5.497235e-02 0.000000e+00 0.000000e+00
4  1.176489e-02 0.000000e+00 0.000000e+00
5  1.896131e-03 0.000000e+00 0.000000e+00
6  2.393056e-04 0.000000e+00 0.000000e+00
7  2.427972e-05 1.115252e-09 0.000000e+00
8  2.017149e-06 3.229766e-10 0.000000e+00
9  1.390145e-07 4.181124e-11 1.909172e-13
10 8.014877e-09 3.241661e-12 1.646641e-14
11 3.882123e-10 1.694071e-13 6.512948e-16
12 1.579089e-11 6.349300e-15 1.578265e-17
13 5.364871e-13 1.769160e-16 2.643515e-19
14 1.506040e-14 3.742870e-18 3.275589e-21
15 3.435930e-16 6.079242e-20 3.139084e-23
16 6.225052e-18 7.605328e-22 2.400856e-25
17 8.677366e-20 7.299838e-24 1.499093e-27
18 8.898494e-22 5.313378e-26 7.762887e-30
19 6.266295e-24 2.870456e-28 3.366049e-32
20 2.680505e-26 1.110149e-30 1.227126e-34
21 5.194267e-29 2.890257e-33 3.758230e-37
22 0.000000e+00 4.508565e-36 9.620837e-40
23 0.000000e+00 3.158919e-39 2.040255e-42
24 0.000000e+00 0.000000e+00 3.537465e-45
25 0.000000e+00 0.000000e+00 4.923006e-48
26 0.000000e+00 0.000000e+00 5.357012e-51
27 0.000000e+00 0.000000e+00 4.383722e-54
28 0.000000e+00 0.000000e+00 2.533508e-57
29 0.000000e+00 0.000000e+00 9.207172e-61
30 0.000000e+00 0.000000e+00 1.580505e-64

$`-4.1`
         path.1       path.2       path.3
0  3.358695e-01 0.000000e+00 0.000000e+00
1  3.774142e-01 0.000000e+00 0.000000e+00
2  2.005181e-01 0.000000e+00 0.000000e+00
3  6.706715e-02 0.000000e+00 0.000000e+00
4  1.586291e-02 0.000000e+00 0.000000e+00
5  2.825484e-03 0.000000e+00 0.000000e+00
6  3.941002e-04 0.000000e+00 0.000000e+00
7  4.419029e-05 2.121706e-09 0.000000e+00
8  4.057427e-06 6.790672e-10 0.000000e+00
9  3.090313e-07 9.715477e-11 4.525419e-13
10 1.969103e-08 8.324690e-12 4.313623e-14
11 1.054072e-09 4.807969e-13 1.885603e-15
12 4.738461e-11 1.991523e-14 5.049893e-17
13 1.779178e-12 6.132759e-16 9.347885e-19
14 5.519834e-14 1.433914e-17 1.280119e-20
15 1.391756e-15 2.573933e-19 1.355793e-22
16 2.786707e-17 3.558731e-21 1.146004e-24
17 4.293048e-19 3.775026e-23 7.908205e-27
