Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1148,@4674,4674,Include in FY19 calib,FY18_Calibrated&Unused,,1215,1237,1385,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.023803353,1.3128959,0.2965438,1.440708726,0,1.244282154,0,0.33323,0,2.MD.3,PU
1149,@4675,4675,Include in FY19 calib,FY18 Operational ,,1512,1412,1405,Include FY18 Calib,Operational FY16,,;,0.679661882,-1.8774779,0.2309101,0.774816175,0,-1.610792628,0,0.19826,0,2.MD.3,PU
1150,@4676,4676,Include in FY19 calib,FY18 Operational ,,3272,2232,1385,Include FY18 Calib,Operational FY16,,;,1.274513529,-0.2692111,0.2411688,1.199325961,0,-0.358042686,0,0.21827,0,5.MD.1,CU
1151,@4677,4677,Include in FY19 calib,FY18_Calibrated&Unused,,2591,2194,1385,Include FY18 Calib,Operational FY16,,;,0.661592588,0.0068214,0.2296796,0.800437534,0,0.085297731,0,0.1967,0,4.MD.2,CU
1152,@4678,4678,Include in FY19 calib,FY18_Calibrated&Unused,,1811,1641,1420,Include FY18 Calib,Operational FY16,,;,0.928784529,-0.8899493,0.2228665,0.910527258,0,-0.963201686,0,0.18787,0,6.SP.3,CU
1153,@4679,4679,Include in FY19 calib,FY18_Calibrated&Unused,,3152,2542,1430,Include FY18 Calib,Operational FY16,,;,1.204212294,-0.039926,0.1839518,1.363893921,0,0.031778322,0,0.17585,0,6.SP.5c,ST
1154,@4680,4680,Include in FY19 calib,FY18_Calibrated&Unused,,1762,1620,1404,Include FY18 Calib,Operational FY16,,;,1.274243941,1.3317503,0.1466772,1.221071268,0,1.355905741,0,0.13283,0,6.RP.3c,ST
1155,@4681,4681,Include in FY19 calib,FY18 Operational ,,2259,1633,1433,Include FY18 Calib,Operational FY16,,;,1.593168412,1.099143,0.1136233,1.769516167,0,1.07926702,0,0.11369,0,7.SP.6,CU
1156,@4682,4682,Include in FY19 calib,FY18_Calibrated&Unused,,1221,1243,1399,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.666413118,0.6013055,0.2658873,0.751937615,0,0.488775626,0,0.23442,0,2.MD.3,CU
1157,@4683,4683,Include in FY19 calib,FY18_Calibrated&Unused,,275,276,,Include FY18 Calib,Piloting FY16,,;,1.12,0.7324493,0.2,0,0,0,0,0,0,6.RP.3c,PU
1158,@4684,4684,Include in FY19 calib,FY18_Calibrated&Unused,,269,269,,Include FY18 Calib,Piloting FY16,,;,1.12,0.3708234,0.2,0,0,0,0,0,0,7.RP.3,PU
1159,@4685,4685,Include in FY19 calib,FY18_Calibrated&Unused,,305,306,,Include FY18 Calib,Piloting FY16,,;,1.12,1.25488,0.2,0,0,0,0,0,0,6.RP.3c,PU
1160,@4686,4686,Include in FY19 calib,FY18 Operational ,,1077,276,,Include FY18 Calib,Piloting FY16,,;,1.12,0.602423,0.2,0,0,0,0,0,0,7.RP.3,PU
1161,@4687,4687,Include in FY19 calib,FY18_Calibrated&Unused,,1234,1256,1411,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.891360176,0.1893351,0.3776043,0.94897572,0,0.020916134,0,0.28632,0,6.SP.4,CU
1162,@4688,4688,Include in FY19 calib,FY18 Operational ,,1521,1243,1399,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.872092824,-0.6636093,0.2636101,1.066357677,0,-0.54736988,0,0.20489,0,4.NF.4a,PU
1163,@4689,4689,Include in FY19 calib,FY18_Calibrated&Unused,,1083,1100,1425,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.509610235,1.0900504,0.2085658,0.611151532,0,0.984082842,0,0.19846,0,4.MD.2,ST
1164,@4690,4690,Include in FY19 calib,FY18 Operational ,,1528,269,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.2675829,0.2,0,0,0,0,0,0,5.NBT.3a,CU
1165,@4691,4691,Include in FY19 calib,FY18_Calibrated&Unused,,305,306,,Include FY18 Calib,Piloting FY16,,;,1.12,1.082105,0.2,0,0,0,0,0,0,6.EE.1,PU
1166,@4692,4692,Include in FY19 calib,FY18_Calibrated&Unused,,3204,2604,1433,Include FY18 Calib,Operational FY16,,;,1.742202059,0.5099902,0.1045435,1.873085584,0,0.523146168,0,0.09215,0,4.OA.5,PU
1167,@4693,4693,Include in FY19 calib,FY18_Calibrated&Unused,,1117,1133,1433,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.417118941,0.4889125,0.2275,1.631686395,0,0.515687547,0,0.23334,0,6.EE.6,PU
1168,@4694,4694,Include in FY19 calib,FY18_Calibrated&Unused,,2509,2088,1407,Include FY18 Calib,Operational FY16,,;,0.912197471,-0.0552992,0.2589904,0.932469653,0,-0.053213423,0,0.24668,0,6.NS.6c,CU
1169,@4697,4697,Include in FY19 calib,FY18_Calibrated&Unused,,1234,1256,1413,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.234542941,1.6065131,0.2179421,2.067167378,0,1.361610825,0,0.23132,0,7.SP.5,CU
1170,@4724,4724,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",142,142,,Include FY18 Calib,Piloting FY16,,;,1.12,-1.4185446,0.2,0,0,0,0,0,0,7.RP.3,PU
1171,@4725,4725,Include in FY19 calib,FY18 Operational ,,421,98,,Include FY18 Calib,Piloting FY16,,;,1.12,-1.1638269,0.2,0,0,0,0,0,0,3.OA.1,CU
1172,@4726,4726,Include in FY19 calib,FY18 Operational ,,529,343,672,Include FY18 Calib,Operational FY16,,;,1.12,-1.3621372,0.2,1.706366087,0,-1.000488701,0,0.2,0,2.NBT.6,ST
1173,@4727,4727,Include in FY19 calib,FY18_Calibrated&Unused,,1311,983,691,Include FY18 Calib,Operational FY16,,;,1.171459,-0.3344219,0.2034146,1.184199505,0,-0.149670133,0,0.2,0,2.OA.1,PU
1174,@4728,4728,Include in FY19 calib,FY18 Operational ,,633,421,691,Include FY18 Calib,Operational FY16,,;,1.12,-0.8586695,0.2,1.119062127,0,-0.875573548,0,0.2,0,2.NBT.7,ST
1175,@4729,4729,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",125,125,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.1809885,0.2,0,0,0,0,0,0,3.NBT.1,CU
1176,@4730,4730,Include in FY19 calib,FY18 Operational ,,1193,789,691,Include FY18 Calib,Operational FY16,,;,1.272962941,-1.391288,0.2355848,1.524897884,0,-1.262575502,0,0.2,0,3.OA.7,CU
1177,@4731,4731,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",142,142,,Include FY18 Calib,Piloting FY16,,;,1.12,-1.2952955,0.2,0,0,0,0,0,0,4.NBT.5,CU
1178,@4732,4732,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",98,98,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.6262476,0.2,0,0,0,0,0,0,5.NBT.5,PU
1179,@4734,4734,Include in FY19 calib,FY18 Operational ,,1205,204,666,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.0214814,0.2,1.612930246,0,0.061119622,0,0.19999,0,5.MD.2,ST
1180,@4735,4735,Include in FY19 calib,FY18_Calibrated&Unused,,199,204,667,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.7119995,0.2,1.646106621,0,1.528848324,0,0.19995,0,5.MD.2,ST
1181,@4736,4736,Include in FY19 calib,FY18 Operational ,,419,204,668,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,-0.746858,0.2,0.599654769,0,-1.040028524,0,0.2,0,5.MD.2,PU
